Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.)
NA,NA,NA,NA,-0.06972,-6.232,0.3728,0.7908
GFI1,growth factor independent 1 transcription repressor,2672,1,-0.03618,0.5236,0.8557,0.9563
IL17RE,interleukin 17 receptor E,132014,3,0.1491,2.935,0.3974,0.8075
RNF219-AS1,RNF219 antisense RNA 1,100874222,13,0.1093,-5.863,0.4226,0.8265
DNAH8,dynein axonemal heavy chain 8,1769,6,-0.003593,0.4133,0.9887,0.9966
METTL11B,methyltransferase like 11B,149281,1,0.05224,-4.505,0.821,0.948
NA,NA,NA,NA,0.007043,-4.353,0.9654,0.9894
LOC100506159,uncharacterized LOC100506159,100506159,12,-0.06773,-6.247,0.371,0.7898
NA,NA,NA,NA,-0.06878,-6.25,0.3709,0.7898
CFAP99,cilia and flagella associated protein 99,402160,4,0.01301,-4.406,0.9516,0.9862
CCDC64B,coiled-coil domain containing 64B,146439,16,0.1776,2.672,0.4268,0.8294
SPDYE1,speedy/RINGO cell cycle regulator family member E1,285955,7,0.1209,-5.661,0.4393,0.8344
S100G,S100 calcium binding protein G,795,X,-0.09904,-6.176,0.378,0.7939
TDRD3,tudor domain containing 3,81550,13,-0.07136,5.186,0.2683,0.7002
NA,NA,NA,NA,-0.002735,-4.392,0.9902,0.9969
SLC10A5,solute carrier family 10 member 5,347051,8,0.05067,0.7939,0.7491,0.9274
RAI14,retinoic acid induced 14,26064,5,-0.1489,7.26,0.216,0.6371
BMS1P4,"BMS1, ribosome biogenesis factor pseudogene 4",729096,10,-0.05664,3.155,0.3788,0.7947
PSKH1,protein serine kinase H1,5681,16,0.06839,3.063,0.389,0.8025
PPAN,peter pan homolog (Drosophila),56342,19,0.01768,0.5071,0.8772,0.9627
CXCR6,chemokine (C-X-C motif) receptor 6,10663,3,0.09926,1.192,0.6507,0.8885
OR4F17,olfactory receptor family 4 subfamily F member 17,81099,19,-0.07379,-6.246,0.3723,0.7906
C16orf47,chromosome 16 open reading frame 47,388289,16,-0.1047,-5.249,0.539,0.8529
NA,NA,NA,NA,-0.0657,-6.25,0.3719,0.7905
TSNAXIP1,translin-associated factor X interacting protein 1,55815,16,-0.02453,0.6544,0.8214,0.948
NA,NA,NA,NA,-0.07085,-6.253,0.3714,0.7899
ZNF48,zinc finger protein 48,197407,16,0.05565,2.069,0.5007,0.8529
MT1HL1,metallothionein 1H-like 1,645745,1,-0.0995,-6.104,0.3866,0.8006
PRKXP1,"protein kinase, X-linked, pseudogene 1",441733,15,0.02031,0.5171,0.8887,0.9646
TRUB1,TruB pseudouridine (psi) synthase family member 1,142940,10,0.06641,3.86,0.3286,0.7573
NA,NA,NA,NA,0.06747,-4.733,0.6845,0.9033
FAM216B,family with sequence similarity 216 member B,144809,13,-0.1142,-4.742,0.6682,0.896
LOC101928123,uncharacterized LOC101928123,101928123,14,-0.0138,-4.381,0.9395,0.9824
RGMB-AS1,RGMB antisense RNA 1,503569,5,-0.09068,-5.985,0.3961,0.8071
PART1,prostate androgen-regulated transcript 1 (non-protein coding),25859,5,-0.09751,-5.96,0.3997,0.8097
CD200R1L,CD200 receptor 1 like,344807,3,-0.1068,-5.279,0.53,0.8529
SNRPE,small nuclear ribonucleoprotein polypeptide E,6635,1,0.1063,3.664,0.3405,0.7664
GRB7,growth factor receptor bound protein 7,2886,17,0.2042,5.012,0.2747,0.7063
BCL2L12,BCL2 like 12,83596,19,0.0631,2.408,0.454,0.8422
GGTLC1,gamma-glutamyltransferase light chain 1,92086,20,-0.1505,-5.256,0.5221,0.8529
NA,NA,NA,NA,-0.09475,-5.958,0.3985,0.8089
KRBOX4,KRAB box domain containing 4,55634,X,-0.05806,3.808,0.332,0.7603
OTOP1,otopetrin 1,133060,4,0.1241,-6.023,0.3947,0.8064
LOC100289561,uncharacterized LOC100289561,100289561,7,-0.003711,0.3788,0.9794,0.9938
HES7,hes family bHLH transcription factor 7,84667,17,0.1206,-5.672,0.45,0.8397
SLC25A16,solute carrier family 25 member 16,8034,10,-0.06984,4.507,0.2946,0.7271
JAZF1-AS1,JAZF1 antisense RNA 1,100128081,7,-0.1119,-5.549,0.4668,0.8489
CDKN1C,cyclin-dependent kinase inhibitor 1C,1028,11,0.02848,0.5161,0.8823,0.9643
ANKRD20A11P,"ankyrin repeat domain 20 family member A11, pseudogene",391267,21,-0.06453,0.6556,0.8435,0.9531
NA,NA,NA,NA,-0.06936,-6.25,0.3722,0.7906
WNT4,wingless-type MMTV integration site family member 4,54361,1,-0.0923,1.217,0.6507,0.8885
ZBP1,Z-DNA binding protein 1,81030,20,0.1394,1.536,0.5869,0.8653
KLHL2,kelch like family member 2,11275,4,-0.09015,5.305,0.2653,0.6966
NA,NA,NA,NA,-0.07533,-6.226,0.3739,0.7914
RSF1,remodeling and spacing factor 1,51773,11,-0.0606,7.075,0.2209,0.644
IRF9,interferon regulatory factor 9,10379,14,0.09558,4.748,0.2849,0.7172
CRHR2,corticotropin releasing hormone receptor 2,1395,7,-0.09687,-4.692,0.7031,0.9119
RABIF,RAB interacting factor,5877,1,0.04408,1.594,0.5739,0.8593
PIWIL2,piwi-like RNA-mediated gene silencing 2,55124,8,0.004511,0.3912,0.9846,0.9956
NA,NA,NA,NA,-0.06982,-6.253,0.3723,0.7906
AMELY,"amelogenin, Y-linked",266,Y,-0.09646,-6.092,0.387,0.8008
RASGEF1B,RasGEF domain family member 1B,153020,4,0.1572,3.373,0.362,0.7831
MED14,mediator complex subunit 14,9282,X,-0.0594,6.919,0.2245,0.649
FGFR1OP,FGFR1 oncogene partner,11116,6,0.0586,4.705,0.2868,0.7189
RER1,retention in endoplasmic reticulum sorting receptor 1,11079,1,0.06618,6.596,0.2312,0.6563
BCL2L14,BCL2 like 14,79370,12,-0.03186,0.5702,0.887,0.9645
ACTL7A,actin like 7A,10881,9,0.07319,-6.212,0.3771,0.7935
TNFSF15,tumor necrosis factor superfamily member 15,9966,9,0.05688,0.8745,0.7474,0.9267
HINFP,histone H4 transcription factor,25988,11,0.05654,3.775,0.3345,0.7623
NA,NA,NA,NA,-0.08321,-6.109,0.3851,0.7991
NA,NA,NA,NA,-0.06905,-6.216,0.3759,0.793
MTRNR2L7,MT-RNR2-like 7,100288485,10,-0.06926,-6.253,0.373,0.791
NA,NA,NA,NA,-0.08204,-6.034,0.3954,0.8068
HLA-DOA,"major histocompatibility complex, class II, DO alpha",3111,6,0.08067,1.094,0.6914,0.9068
ZC4H2,zinc finger C4H2-type containing,55906,X,0.08792,1.532,0.593,0.8671
CKB,"creatine kinase, brain",1152,14,-0.1653,2.581,0.4405,0.8348
KATNBL1,katanin p80 subunit B-like 1,79768,15,-0.05817,3.449,0.3587,0.7807
NA,NA,NA,NA,0.1159,-5.405,0.5091,0.8529
BCL9,B-cell CLL/lymphoma 9,607,1,0.1041,5.785,0.2521,0.6826
DCC,DCC netrin 1 receptor,1630,18,-0.08679,0.7427,0.7791,0.9369
ZNF732,zinc finger protein 732,654254,4,0.009483,0.4908,0.9771,0.9932
SPG20-AS1,SPG20 antisense RNA 1,100507135,13,0.01747,-4.493,0.9194,0.9748
NA,NA,NA,NA,-0.05299,1.873,0.5343,0.8529
NA,NA,NA,NA,-0.05539,1.654,0.5711,0.8583
RPL41,ribosomal protein L41,6171,12,0.07373,2.888,0.4064,0.8146
HAPLN4,hyaluronan and proteoglycan link protein 4,404037,19,-0.0953,-5.019,0.6124,0.8717
NCAM1-AS1,NCAM1 antisense RNA1,100288346,11,0.08328,-6.123,0.3858,0.7997
RLTPR,"RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing",146206,16,0.1308,1.916,0.5253,0.8529
HHLA1,HERV-H LTR-associating 1,10086,8,0.09975,-6.042,0.3957,0.8069
NA,NA,NA,NA,-0.03103,0.898,0.7448,0.9259
SPCS1,signal peptidase complex subunit 1,28972,3,0.1243,6.746,0.2284,0.6539
DHRS4-AS1,DHRS4 antisense RNA 1,55449,14,0.03803,1.206,0.661,0.893
SHISA5,shisa family member 5,51246,3,-0.1172,6.58,0.2322,0.6574
LINC00266-1,long intergenic non-protein coding RNA 266-1,140849,20,0.09331,-5.133,0.572,0.8585
E4F1,E4F transcription factor 1,1877,16,0.05829,3.145,0.3842,0.799
CATSPER3,cation channel sperm associated 3,347732,5,0.03474,0.8776,0.7365,0.9231
UPK3A,uroplakin 3A,7380,22,0.3099,2.234,0.4867,0.8529
LOC100133091,uncharacterized LOC100133091,100133091,7,-0.04783,1.236,0.6511,0.8886
FOXE3,forkhead box E3,2301,1,-0.02829,-4.458,0.8969,0.9673
NA,NA,NA,NA,-0.1252,-5.095,0.5759,0.8604
HDHD3,haloacid dehalogenase like hydrolase domain containing 3,81932,9,0.0009201,0.4569,0.9935,0.9983
RNASE13,ribonuclease A family member 13 (inactive),440163,14,0.07998,-4.894,0.6373,0.8828
MSX2,msh homeobox 2,4488,5,0.1899,2.718,0.427,0.8294
LGALS8-AS1,LGALS8 antisense RNA 1,100287902,1,-0.004816,-4.429,0.9788,0.9935
TP53TG5,TP53 target 5,27296,20,-0.1086,-5.502,0.484,0.8529
GCN1,"GCN1, eIF2 alpha kinase activator homolog",10985,12,0.09919,8.053,0.203,0.6223
TYRO3P,TYRO3P protein tyrosine kinase pseudogene,7302,15,-0.002822,0.4653,0.9774,0.9932
ADAM18,ADAM metallopeptidase domain 18,8749,8,0.1273,-5.614,0.4596,0.8444
VAV3,vav guanine nucleotide exchange factor 3,10451,1,-0.1263,5.189,0.2719,0.704
MIR124-2HG,MIR124-2 host gene,100130155,8,0.09228,-6.183,0.3797,0.7954
LOC728339,uncharacterized LOC728339,728339,4,0.07036,-6.184,0.3812,0.7969
NA,NA,NA,NA,-0.06958,-6.218,0.3779,0.7939
STAC3,SH3 and cysteine rich domain 3,246329,12,0.07978,2.211,0.4823,0.8529
UBAP2,ubiquitin associated protein 2,55833,9,0.074,6.895,0.2252,0.6497
NA,NA,NA,NA,-0.1006,-5.97,0.4025,0.8116
ALKBH5,"alkB homolog 5, RNA demethylase",54890,17,0.0633,5.014,0.277,0.7084
NA,NA,NA,NA,-0.02976,-4.51,0.8579,0.9571
LINC00885,long intergenic non-protein coding RNA 885,401109,3,0.08763,-5.053,0.595,0.8671
POLR2A,polymerase (RNA) II subunit A,5430,17,0.09853,9.595,0.179,0.5892
FAM47A,family with sequence similarity 47 member A,158724,X,0.1201,-5.354,0.5099,0.8529
NA,NA,NA,NA,-0.06879,-6.253,0.3751,0.7924
FOLH1B,folate hydrolase 1B,219595,11,-0.1042,-4.945,0.6284,0.8792
SLC33A1,solute carrier family 33 member 1,9197,3,0.05751,6.113,0.2441,0.6723
GOLGA2P7,golgin A2 pseudogene 7,388152,15,-0.06878,-6.229,0.3768,0.7935
CASP16P,"caspase 16, pseudogene",197350,16,-0.08382,-6.195,0.3839,0.7989
ALDH3B1,aldehyde dehydrogenase 3 family member B1,221,11,-0.09435,1.846,0.5451,0.8529
IL17RD,interleukin 17 receptor D,54756,3,-0.08499,1.655,0.571,0.8583
ANGPT2,angiopoietin 2,285,8,-0.1228,3.865,0.3333,0.7616
CRAT37,cervical cancer-associated transcript 37,101926928,15,-0.06865,-6.253,0.3757,0.7928
VAMP2,vesicle associated membrane protein 2,6844,17,-0.04868,1.858,0.5399,0.8529
TCFL5,transcription factor-like 5 (basic helix-loop-helix),10732,20,0.06037,2.909,0.4074,0.8153
NA,NA,NA,NA,-0.07253,-4.806,0.6959,0.9088
SNHG12,small nucleolar RNA host gene 12,85028,1,-0.08816,-5.194,0.556,0.8529
IMPA2,inositol(myo)-1(or 4)-monophosphatase 2,3613,18,-0.1226,2.592,0.4418,0.8354
NA,NA,NA,NA,-0.06744,-6.253,0.3764,0.7933
RPS19BP1,ribosomal protein S19 binding protein 1,91582,22,0.04483,2.162,0.4953,0.8529
RSPH4A,radial spoke head 4 homolog A (Chlamydomonas),345895,6,0.0009838,0.5007,0.9944,0.9986
OR51A2,olfactory receptor family 51 subfamily A member 2,401667,11,-0.07425,-6.226,0.378,0.7939
NA,NA,NA,NA,-0.06459,-6.25,0.3767,0.7934
TPTE2P5,transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 5,100616668,13,0.01114,0.5387,0.9306,0.9801
FBXW9,F-box and WD repeat domain containing 9,84261,19,0.06211,2.196,0.4896,0.8529
HSPB8,heat shock protein family B (small) member 8,26353,12,0.2473,5.155,0.2743,0.7058
UGT8,UDP glycosyltransferase 8,7368,4,0.1455,1.053,0.7037,0.9122
KIF25,kinesin family member 25,3834,6,-0.09984,-4.99,0.621,0.876
NA,NA,NA,NA,0.09726,-5.864,0.4144,0.8199
HILPDA,hypoxia inducible lipid droplet associated,29923,7,0.1499,3.383,0.368,0.7876
RAB11B-AS1,RAB11B antisense RNA 1,100507567,19,-0.03729,-4.534,0.8214,0.948
ATP6,ATP synthase F0 subunit 6,4508,MT,0.1317,3.621,0.3479,0.7731
TSHB,thyroid stimulating hormone beta,7252,1,-0.08089,-6.152,0.3857,0.7996
SSX4B,"synovial sarcoma, X breakpoint 4B",548313,X,-0.07297,-6.249,0.3775,0.7938
ZNF599,zinc finger protein 599,148103,19,-0.009461,0.5747,0.9275,0.9785
MRPL13,mitochondrial ribosomal protein L13,28998,8,0.08234,4.248,0.3105,0.7432
ATP4B,ATPase H+/K+ transporting beta subunit,496,13,-0.1178,-6.074,0.3954,0.8068
STK24,serine/threonine kinase 24,8428,13,0.1093,7.286,0.2184,0.6408
RTN2,reticulon 2,6253,19,-0.08303,2.064,0.5081,0.8529
TMIGD2,transmembrane and immunoglobulin domain containing 2,126259,19,0.004029,-4.484,0.9834,0.9953
VILL,villin-like,50853,3,-0.1764,3.557,0.3575,0.7797
KRTAP9-9,keratin associated protein 9-9,81870,17,0.06926,-6.232,0.3786,0.7946
CD5,CD5 molecule,921,11,-0.09698,1.151,0.6847,0.9034
NA,NA,NA,NA,0.0758,-6.063,0.3947,0.8064
TMEM88B,transmembrane protein 88B,643965,1,0.1002,-6.018,0.4001,0.8099
NBPF25P,"neuroblastoma breakpoint family member 25, pseudogene",101929780,1,0.05758,1.663,0.5767,0.8607
ENKD1,enkurin domain containing 1,84080,16,-0.01948,0.6913,0.8319,0.9497
ZCCHC18,zinc finger CCHC-type containing 18,644353,X,0.006404,0.5204,0.9684,0.9908
DDX11L5,DEAD/H-box helicase 11 like 5,100287596,9,-0.06661,-6.25,0.3776,0.7938
SLC16A3,solute carrier family 16 member 3,9123,17,-0.1405,4.783,0.289,0.7212
PPP1R2P9,protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 9,80316,X,-0.09256,-6.066,0.3971,0.8075
ESYT1,extended synaptotagmin protein 1,23344,12,-0.08879,7.899,0.2074,0.6274
POR,P450 (cytochrome) oxidoreductase,5447,7,0.09728,5.399,0.2657,0.6971
NA,NA,NA,NA,0.08451,-6.157,0.3875,0.8012
PRELID3A,PRELI domain containing 3A,10650,18,-0.03823,0.6733,0.8353,0.951
ZMAT5,zinc finger matrin-type 5,55954,22,0.04814,1.999,0.5234,0.8529
NA,NA,NA,NA,0.01903,-4.481,0.9075,0.9708
BMP6,bone morphogenetic protein 6,654,6,-0.09525,1.581,0.595,0.8671
LCE2A,late cornified envelope 2A,353139,1,-0.1204,-6.039,0.3979,0.8081
LOC100996724,phosphodiesterase 4D interacting protein-like,100996724,1,-0.08032,2.544,0.4497,0.8394
ANKRD33,ankyrin repeat domain 33,341405,12,-0.07872,-4.786,0.7287,0.9206
NA,NA,NA,NA,0.08952,-5.056,0.5956,0.8671
HLA-DRB6,"major histocompatibility complex, class II, DR beta 6 (pseudogene)",3128,6,-0.09595,1.101,0.6933,0.9078
SPI1,Spi-1 proto-oncogene,6688,11,-0.1559,3.232,0.3804,0.796
JKAMP,JNK1/MAPK8-associated membrane protein,51528,14,-0.07133,5.643,0.2589,0.6897
CTBP1-AS2,CTBP1 antisense RNA 2 (head to head),92070,4,0.03953,1.394,0.6315,0.88
GTF2A2,general transcription factor IIA 2,2958,15,0.0628,4.093,0.3201,0.7501
DEPDC7,DEP domain containing 7,91614,11,-0.04397,0.6327,0.8288,0.9492
BMP5,bone morphogenetic protein 5,653,6,0.00487,0.5048,0.9902,0.9969
VASN,vasorin,114990,16,-0.07346,1.454,0.6138,0.8725
NUGGC,"nuclear GTPase, germinal center associated",389643,8,0.038,0.582,0.8887,0.9646
CST9L,cystatin 9-like,128821,20,-0.09214,-6.08,0.3947,0.8064
ABLIM3,actin binding LIM protein family member 3,22885,5,-0.2007,4.901,0.2837,0.7157
HCRTR1,hypocretin receptor 1,3061,1,-0.07047,-4.729,0.7338,0.9225
ARMCX3,"armadillo repeat containing, X-linked 3",51566,X,0.07213,2.949,0.4084,0.8162
TMEM183A,transmembrane protein 183A,92703,1,0.03949,2.339,0.4757,0.8524
STAC,SH3 and cysteine rich domain,6769,3,-0.01296,0.5784,0.9541,0.9868
SYBU,syntabulin,55638,8,0.08639,0.9295,0.7402,0.9242
LINC01387,long intergenic non-protein coding RNA 1387,100130480,18,-0.07283,-6.194,0.3845,0.799
RUNDC3A-AS1,RUNDC3A antisense RNA 1,101926996,17,-0.09631,-5.876,0.421,0.8258
LOC101927051,uncharacterized LOC101927051,101927051,22,-0.09404,-5.047,0.6081,0.8696
MGAT2,"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",4247,14,-0.07598,6.167,0.2451,0.6734
ZIC1,Zic family member 1,7545,3,-0.01385,-4.474,0.9672,0.9899
IAPP,islet amyloid polypeptide,3375,12,-0.09173,-5.999,0.4104,0.8176
HOXA2,homeobox A2,3199,7,0.1141,2.509,0.4544,0.8425
PPP1R3C,protein phosphatase 1 regulatory subunit 3C,5507,10,-0.2983,4.839,0.2859,0.7178
APCS,"amyloid P component, serum",325,1,-0.2008,-5.338,0.5335,0.8529
FAM160B1,family with sequence similarity 160 member B1,57700,10,-0.0663,5.844,0.2534,0.6834
NA,NA,NA,NA,-0.08146,-6.132,0.3902,0.8034
OR2M3,olfactory receptor family 2 subfamily M member 3,127062,1,0.1293,-5.358,0.5265,0.8529
MRPL52,mitochondrial ribosomal protein L52,122704,14,0.06081,2.857,0.4171,0.8221
APOBEC4,apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4,403314,1,-0.1191,-5.92,0.4132,0.8192
CDC25B,cell division cycle 25B,994,20,0.1198,4.608,0.2957,0.7282
VWA2,von Willebrand factor A domain containing 2,340706,10,0.08541,0.9182,0.7519,0.9285
NA,NA,NA,NA,-0.03736,-4.59,0.8426,0.9529
ZNF485,zinc finger protein 485,220992,10,0.07291,2.685,0.4359,0.8331
C6orf25,chromosome 6 open reading frame 25,80739,6,-0.03758,-4.539,0.8512,0.9556
VTCN1,V-set domain containing T cell activation inhibitor 1,79679,1,0.06147,0.6169,0.8746,0.9616
SUPT20H,"SPT20 homolog, SAGA complex component",55578,13,0.06639,5.847,0.2534,0.6834
STOML3,stomatin like 3,161003,13,0.07646,-4.709,0.7514,0.9283
FAM229B,family with sequence similarity 229 member B,619208,6,-0.02953,0.7538,0.8249,0.9491
SLC18A1,solute carrier family 18 member A1,6570,8,0.1034,-4.954,0.6501,0.8885
NA,NA,NA,NA,0.09521,-5.935,0.4116,0.8181
AP3B2,adaptor related protein complex 3 beta 2 subunit,8120,15,-0.03944,0.6582,0.8775,0.9628
UNC93A,unc-93 homolog A (C. elegans),54346,6,0.1595,-5.293,0.5374,0.8529
MIR554,microRNA 554,693139,1,0.1188,-5.455,0.5008,0.8529
CYB561D1,cytochrome b561 family member D1,284613,1,-0.004481,0.5871,0.9641,0.9894
MIR1307,microRNA 1307,100302174,10,-0.08338,-6.092,0.395,0.8064
ZNF879,zinc finger protein 879,345462,5,-0.08828,1.823,0.5601,0.8537
MUC16,"mucin 16, cell surface associated",94025,19,0.5431,4.397,0.3011,0.7338
MC2R,melanocortin 2 receptor,4158,18,-0.1365,-5.289,0.5385,0.8529
CLDN7,claudin 7,1366,17,0.1625,4.546,0.2986,0.7313
BAALC-AS1,BAALC antisense RNA 1,100499183,8,-0.06754,-6.227,0.3834,0.7984
TMEM251,transmembrane protein 251,26175,14,0.05482,2.434,0.4665,0.8486
TPCN2,two pore segment channel 2,219931,11,-0.1063,5.177,0.2749,0.7063
BMP4,bone morphogenetic protein 4,652,14,-0.1547,3.183,0.391,0.8043
LOC101928885,uncharacterized LOC101928885,101928885,5,-0.1046,-5.517,0.4822,0.8529
ARPP21,cAMP regulated phosphoprotein 21kDa,10777,3,-0.05473,-4.532,0.8464,0.9537
TTC22,tetratricopeptide repeat domain 22,55001,1,-0.06708,1.082,0.7057,0.9128
RAD23A,"RAD23 homolog A, nucleotide excision repair protein",5886,19,0.05851,5.291,0.2705,0.7025
NALT1,NOTCH1 associated lncRNA in T-cell acute lymphoblastic leukemia 1,101928483,9,-0.08927,-5.962,0.4084,0.8162
TRIM51,tripartite motif-containing 51,84767,11,0.1013,-6.06,0.4032,0.8121
NA,NA,NA,NA,-0.1071,-5.448,0.4941,0.8529
NA,NA,NA,NA,-0.09185,-6.045,0.3993,0.8097
DLEU1,deleted in lymphocytic leukemia 1 (non-protein coding),10301,13,0.001287,0.5194,0.9897,0.9969
C1orf162,chromosome 1 open reading frame 162,128346,1,-0.165,3.786,0.3413,0.7672
SDCBP2-AS1,SDCBP2 antisense RNA 1,100507495,20,0.09445,-5.828,0.4305,0.832
ZNF408,zinc finger protein 408,79797,11,-0.04963,2.078,0.5123,0.8529
NGRN,"neugrin, neurite outgrowth associated",51335,15,0.07194,6.206,0.2447,0.673
NA,NA,NA,NA,-0.0667,-6.25,0.381,0.7966
SCNN1G,sodium channel epithelial 1 gamma subunit,6340,16,0.371,4.342,0.3084,0.742
H1FNT,"H1 histone family member N, testis specific",341567,12,0.09989,-4.886,0.6542,0.8902
DLK1,delta-like 1 homolog (Drosophila),8788,14,0.1463,-5.464,0.5016,0.8529
SNORA11,"small nucleolar RNA, H/ACA box 11",677799,X,-0.1339,4.169,0.3197,0.7501
NA,NA,NA,NA,-0.0666,-6.255,0.381,0.7966
CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3,55799,3,-0.138,2.06,0.5145,0.8529
TSGA13,testis specific 13,114960,7,-0.07783,-6.165,0.3898,0.8032
GTF3C2-AS1,GTF3C2 antisense RNA 1,100505624,2,-0.06985,-6.224,0.3839,0.7989
OR10H5,olfactory receptor family 10 subfamily H member 5,284433,19,0.1288,-5.647,0.4586,0.8438
NA,NA,NA,NA,0.01288,-4.456,0.9385,0.9823
C6orf106,chromosome 6 open reading frame 106,64771,6,0.07302,5.797,0.2564,0.6867
FER1L6-AS2,FER1L6 antisense RNA 2,157376,8,-0.15,-5.745,0.4392,0.8343
SPDYE4,speedy/RINGO cell cycle regulator family member E4,388333,17,-0.1043,-5.208,0.5701,0.8583
CRIM1,cysteine rich transmembrane BMP regulator 1 (chordin-like),51232,2,-0.1195,6.99,0.2271,0.6519
CFAP77,cilia and flagella associated protein 77,389799,9,0.08366,-4.791,0.7187,0.9178
MB21D1,Mab-21 domain containing 1,115004,6,0.09475,2.567,0.4477,0.8387
FUT6,fucosyltransferase 6,2528,19,0.1936,1.414,0.6431,0.8854
CNEP1R1,CTD nuclear envelope phosphatase 1 regulatory subunit 1,255919,16,-0.04532,3.109,0.3952,0.8066
CORT,cortistatin,1325,1,0.07841,-5.103,0.5935,0.8671
NA,NA,NA,NA,-0.03984,-4.602,0.8549,0.9562
QRFP,pyroglutamylated RFamide peptide,347148,9,0.06596,-6.229,0.3847,0.7991
LOC101928108,lymphocyte antigen 6A-2/6E-1-like,101928108,8,0.09819,-6.168,0.3895,0.8028
LINC00939,long intergenic non-protein coding RNA 939,400084,12,-0.07075,-6.233,0.3843,0.799
CCRL2,chemokine (C-C motif) receptor-like 2,9034,3,-0.06994,1.466,0.624,0.8769
LOC101930048,uncharacterized LOC101930048,101930048,9,-0.06577,-6.253,0.3823,0.7976
NXT1,nuclear transport factor 2-like export factor 1,29107,20,0.06679,3.235,0.3835,0.7985
PEX16,peroxisomal biogenesis factor 16,9409,11,0.0629,3.648,0.3511,0.7759
SLC39A11,solute carrier family 39 member 11,201266,17,0.0851,4.637,0.2972,0.7302
NA,NA,NA,NA,-0.0664,-6.255,0.3823,0.7976
NA,NA,NA,NA,-0.1694,-5.515,0.4881,0.8529
ADAP1,ArfGAP with dual PH domains 1,11033,7,-0.1076,2.512,0.4574,0.8433
IMMT,inner membrane mitochondrial protein,10989,2,0.05406,6.583,0.2365,0.6631
DACT3-AS1,DACT3 antisense RNA 1,100506068,19,-0.06513,-6.25,0.3829,0.7979
BPIFA2,BPI fold containing family A member 2,140683,20,-0.03795,-4.519,0.8985,0.9678
HDAC9,histone deacetylase 9,9734,7,-0.1688,3.77,0.3441,0.7698
NA,NA,NA,NA,-0.06684,-6.255,0.3823,0.7976
NUTM2F,NUT family member 2F,54754,9,0.07903,-4.739,0.71,0.9142
TGM2,transglutaminase 2,7052,20,-0.2408,7.605,0.2145,0.6356
C17orf102,chromosome 17 open reading frame 102,400591,17,-0.08453,-6.141,0.3933,0.8053
DENND6B,DENN domain containing 6B,414918,22,-0.06683,2.169,0.5059,0.8529
CRYBA4,crystallin beta A4,1413,22,-0.1125,-5.367,0.5248,0.8529
RPH3A,rabphilin 3A,22895,12,0.05591,-4.665,0.8098,0.9456
IQCF3,IQ motif containing F3,401067,3,-0.08112,-6.185,0.3886,0.802
TRIM10,tripartite motif containing 10,10107,6,-0.09024,-4.807,0.722,0.9185
UGT2B11,UDP glucuronosyltransferase family 2 member B11,10720,4,-0.06721,-4.556,0.8131,0.946
ANKS4B,ankyrin repeat and sterile alpha motif domain containing 4B,257629,16,0.001577,-4.488,0.9953,0.9988
SCARNA3,small Cajal body-specific RNA 3,677679,1,0.07235,1.438,0.6357,0.8821
LINC01136,long intergenic non-protein coding RNA 1136,730227,1,-0.08194,-6.132,0.395,0.8064
COG2,component of oligomeric golgi complex 2,22796,1,0.05799,4.721,0.2939,0.7261
NA,NA,NA,NA,0.1137,-5.428,0.5136,0.8529
DRP2,dystrophin related protein 2,1821,X,0.003865,0.5488,0.9853,0.9957
LINC00691,long intergenic non-protein coding RNA 691,152024,3,-0.06311,-6.25,0.3837,0.7987
LMO2,LIM domain only 2,4005,11,-0.07318,1.99,0.5331,0.8529
TRAPPC4,trafficking protein particle complex 4,51399,11,0.05846,3.708,0.348,0.7731
NA,NA,NA,NA,-0.07634,-6.177,0.3911,0.8043
SNORA40,"small nucleolar RNA, H/ACA box 40",677822,11,0.06682,1.562,0.6075,0.8696
SCN5A,sodium voltage-gated channel alpha subunit 5,6331,3,0.197,2.42,0.4799,0.8529
SNHG16,small nucleolar RNA host gene 16,100507246,17,-0.07115,3.378,0.375,0.7924
HDX,highly divergent homeobox,139324,X,-0.07712,1.845,0.5572,0.8529
ARL5B,ADP ribosylation factor like GTPase 5B,221079,10,0.08593,4.43,0.307,0.7405
NA,NA,NA,NA,-0.07132,-6.252,0.3836,0.7986
KRT32,keratin 32,3882,17,0.1217,-5.64,0.4683,0.8494
IGSF3,immunoglobulin superfamily member 3,3321,1,-0.1554,4.814,0.2902,0.7226
GSTO1,glutathione S-transferase omega 1,9446,10,-0.09929,5.3,0.2719,0.704
FAM71F2,family with sequence similarity 71 member F2,346653,7,-0.03907,0.8862,0.7702,0.934
NA,NA,NA,NA,-0.0749,-6.157,0.3924,0.8046
FZD2,frizzled class receptor 2,2535,17,-0.05179,1.048,0.72,0.9182
OR2A12,olfactory receptor family 2 subfamily A member 12,346525,7,-0.07298,-6.189,0.3901,0.8034
TIGD7,tigger transposable element derived 7,91151,16,-0.0138,0.6357,0.9147,0.9736
