Symbol,Description,EntrezID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
SH3RF3-AS1,SH3RF3 antisense RNA 1,100287216,2,-0.03292,-5.612,0.8758,0.9577,,,,,,,,,,,
EFCC1,EF-hand and coiled-coil domain containing 1,79825,3,-0.023,-1.14,0.8758,0.9577,,,,,,,,,,,
KRTAP4-8,keratin associated protein 4-8,728224,17,-0.0828,-6.269,0.8758,0.9577,,,,,,,,,,,
SNORD47,"small nucleolar RNA, C/D box 47",26802,1,-0.09664,-3.144,0.8758,0.9577,,,,,,,,,,,
XKR8,XK related 8,55113,1,-0.02053,0.2361,0.8757,0.9577,,,,,,,,,,,
SLC7A13,solute carrier family 7 member 13,157724,8,-0.01343,-5.388,0.8757,0.9577,,,,,,,,,,,
RBPMS-AS1,RBPMS antisense RNA 1,100128750,8,-0.07101,-6.195,0.8755,0.9577,,,,,,,,,,,
RBM4B,RNA binding motif protein 4B,83759,11,-0.004154,3.553,0.8754,0.9577,,,,,,,,,,,
CABP7,calcium binding protein 7,164633,22,-0.06539,-4.305,0.8754,0.9577,,,,,,,,,,,
NA,NA,NA,NA,-0.06072,-5.72,0.8754,0.9577,,,,,,,,,,,
GCFC2,GC-rich sequence DNA-binding factor 2,6936,2,-0.006721,4.755,0.8753,0.9577,,,,,,,,,,,
BIRC8,baculoviral IAP repeat containing 8,112401,19,-0.08017,-6.246,0.8753,0.9577,,,,,,,,,,,
NA,NA,NA,NA,-0.07327,-6.266,0.8751,0.9577,,,,,,,,,,,
MEOX1,mesenchyme homeobox 1,4222,17,-0.07413,-3.503,0.8751,0.9577,,,,,,,,,,,
DNAJC3-AS1,DNAJC3 antisense RNA 1 (head to head),100289274,13,-0.00604,-5.37,0.8751,0.9577,,,,,,,,,,,
ANKRD18DP,"ankyrin repeat domain 18D, pseudogene",348840,3,-0.04751,-5.62,0.8751,0.9577,,,,,,,,,,,
OR6C74,olfactory receptor family 6 subfamily C member 74,254783,12,-0.05512,-6.177,0.8749,0.9577,,,,,,,,,,,
LOC101927727,uncharacterized LOC101927727,101927727,17,-0.09441,-6.261,0.8749,0.9577,,,,,,,,,,,
OR5R1,olfactory receptor family 5 subfamily R member 1 (gene/pseudogene),219479,11,-0.1002,-6.241,0.8748,0.9577,,,,,,,,,,,
NA,NA,NA,NA,-0.07119,-6.155,0.8748,0.9577,,,,,,,,,,,
ZNF804A,zinc finger protein 804A,91752,2,-0.08145,-0.1611,0.8747,0.9577,,,,,,,,,,,
NA,NA,NA,NA,-0.03242,-6.007,0.8746,0.9577,,,,,,,,,,,
ATXN7L1,ataxin 7 like 1,222255,7,-0.05457,4.692,0.8745,0.9577,,,,,,,,,,,
ZC2HC1B,zinc finger C2HC-type containing 1B,153918,6,-0.005602,-4.484,0.8745,0.9577,,,,,,,,,,,
CYP4F35P,"cytochrome P450 family 4 subfamily F member 35, pseudogene",284233,18,-0.04235,-5.879,0.8743,0.9575,,,,,,,,,,,
NA,NA,NA,NA,-0.09226,-6.206,0.8742,0.9575,,,,,,,,,,,
PATL2,protein associated with topoisomerase II homolog 2 (yeast),197135,15,-0.1092,0.8327,0.8742,0.9574,,,,,,,,,,,
NA,NA,NA,NA,-0.09037,-6.261,0.8739,0.9573,,,,,,,,,,,
AP1M1,adaptor related protein complex 1 mu 1 subunit,8907,19,-0.03525,4.824,0.8737,0.9572,,,,,,,,,,,
NA,NA,NA,NA,-0.05064,-5.797,0.8737,0.9572,,,,,,,,,,,
PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2,5565,1,-0.001332,3.058,0.8736,0.9572,,,,,,,,,,,
LOC284898,uncharacterized LOC284898,284898,22,-0.1069,-6.233,0.8736,0.9572,,,,,,,,,,,
LOC101927690,uncharacterized LOC101927690,101927690,14,-0.07491,-6.275,0.8735,0.9571,,,,,,,,,,,
C8orf76,chromosome 8 open reading frame 76,84933,8,-0.01815,1.446,0.8735,0.9571,,,,,,,,,,,
LOC100506974,uncharacterized LOC100506974,100506974,17,-0.07172,-6.091,0.8734,0.9571,,,,,,,,,,,
NA,NA,NA,NA,-0.09286,-6.146,0.8732,0.957,,,,,,,,,,,
ANKRD46,ankyrin repeat domain 46,157567,8,-0.01819,3.6,0.873,0.9568,,,,,,,,,,,
ACTB,"actin, beta",60,7,-0.06443,12.95,0.873,0.9568,,,,,,,,,,,
SPATA31D3,"SPATA31 subfamily D, member 3",389762,9,-0.07414,-6.224,0.873,0.9568,,,,,,,,,,,
LOC100499484,SUGT1-1300002K09Rik pseudogene,100499484,9,-0.01399,-1.942,0.8729,0.9568,,,,,,,,,,,
NA,NA,NA,NA,-0.07836,-6.249,0.8729,0.9568,,,,,,,,,,,
PTDSS2,phosphatidylserine synthase 2,81490,11,-0.01616,3.456,0.8727,0.9567,,,,,,,,,,,
OR1A2,olfactory receptor family 1 subfamily A member 2,26189,17,-0.06421,-6.097,0.8727,0.9567,,,,,,,,,,,
NA,NA,NA,NA,-0.01705,0.6561,0.8726,0.9567,,,,,,,,,,,
MAFG-AS1,MAFG antisense RNA 1 (head to head),92659,17,-0.03152,-5.82,0.8726,0.9567,,,,,,,,,,,
TRIM51,tripartite motif-containing 51,84767,11,-0.0973,-5.995,0.8725,0.9567,,,,,,,,,,,
NA,NA,NA,NA,-0.06968,-6.185,0.8723,0.9565,,,,,,,,,,,
NA,NA,NA,NA,-0.0904,-6.215,0.8722,0.9565,,,,,,,,,,,
NA,NA,NA,NA,-0.09078,-6.242,0.8722,0.9565,,,,,,,,,,,
NA,NA,NA,NA,-0.08307,-5.887,0.8722,0.9565,,,,,,,,,,,
NA,NA,NA,NA,-0.08379,-6.203,0.8721,0.9565,,,,,,,,,,,
SNORD3B-2,"small nucleolar RNA, C/D box 3B-2",780852,17,-0.02584,-3.705,0.8721,0.9565,,,,,,,,,,,
TMEM239,transmembrane protein 239,100288797,20,-0.06302,-5.909,0.8721,0.9565,,,,,,,,,,,
SNORD114-9,"small nucleolar RNA, C/D box 114-9",767585,14,-0.09993,-6.264,0.8719,0.9565,,,,,,,,,,,
NA,NA,NA,NA,-0.06905,-6.245,0.8718,0.9564,,,,,,,,,,,
LOC93429,uncharacterized LOC93429,93429,19,-0.1002,-5.988,0.8717,0.9564,,,,,,,,,,,
KLF6,Kruppel-like factor 6,1316,10,-0.008756,8.812,0.8717,0.9564,,,,,,,,,,,
SRRM5,serine/arginine repetitive matrix 5,100170229,19,-0.01432,2.31,0.8714,0.9563,,,,,,,,,,,
LINC00174,long intergenic non-protein coding RNA 174,285908,7,-0.05137,0.2078,0.8713,0.9562,,,,,,,,,,,
RASSF2,Ras association domain family member 2,9770,20,-0.01846,3.794,0.8713,0.9562,,,,,,,,,,,
NA,NA,NA,NA,-0.06942,-6.172,0.8713,0.9562,,,,,,,,,,,
NA,NA,NA,NA,-0.01662,-4.137,0.8712,0.9562,,,,,,,,,,,
LRRN2,leucine rich repeat neuronal 2,10446,1,-0.1404,-1.495,0.8711,0.9562,,,,,,,,,,,
NA,NA,NA,NA,-0.03079,-4.855,0.8711,0.9562,,,,,,,,,,,
TCHHL1,trichohyalin like 1,126637,1,-0.0896,-4.449,0.871,0.9562,,,,,,,,,,,
MIR3654,microRNA 3654,100500804,7,-0.07035,-6.261,0.8709,0.9562,,,,,,,,,,,
PRAMEF27,PRAME family member 27,101929983,1,-0.09822,-6.256,0.8709,0.9561,,,,,,,,,,,
C9orf173,chromosome 9 open reading frame 173,441476,9,-0.04882,-5.641,0.8708,0.9561,,,,,,,,,,,
FAR2P2,fatty acyl-CoA reductase 2 pseudogene 2,100216479,2,-0.09901,-6.136,0.8706,0.9559,,,,,,,,,,,
NA,NA,NA,NA,-0.07594,-6.232,0.8706,0.9559,,,,,,,,,,,
ATP6AP1L,ATPase H+ transporting accessory protein 1 like,92270,5,-0.05108,0.1791,0.8706,0.9559,,,,,,,,,,,
ACKR4,atypical chemokine receptor 4,51554,3,-0.03155,-1.161,0.8705,0.9559,,,,,,,,,,,
LRRC27,leucine rich repeat containing 27,80313,10,-0.009563,3.122,0.8704,0.9559,,,,,,,,,,,
DENND2D,DENN domain containing 2D,79961,1,-0.07207,5.419,0.8704,0.9559,,,,,,,,,,,
NA,NA,NA,NA,-0.08004,-6.225,0.8704,0.9559,,,,,,,,,,,
HOXA6,homeobox A6,3203,7,-0.04013,1.41,0.8703,0.9559,,,,,,,,,,,
RTL1,retrotransposon-like 1,388015,14,-0.1088,-5.724,0.8702,0.9559,,,,,,,,,,,
PDXDC2P,"pyridoxal-dependent decarboxylase domain containing 2, pseudogene",283970,16,-0.005875,6.421,0.8701,0.9559,,,,,,,,,,,
GS1-120K12.4,uncharacterized LOC101929069,101929069,1,-0.06821,-6.238,0.8701,0.9559,,,,,,,,,,,
GCSAM,"germinal center-associated, signaling and motility",257144,3,-0.0006019,-0.6591,0.8701,0.9559,,,,,,,,,,,
NA,NA,NA,NA,-0.09071,-6.169,0.8701,0.9559,,,,,,,,,,,
NA,NA,NA,NA,-0.07317,-6.275,0.87,0.9559,,,,,,,,,,,
NA,NA,NA,NA,-0.09263,-6.245,0.87,0.9559,,,,,,,,,,,
OR2T12,olfactory receptor family 2 subfamily T member 12,127064,1,-0.1057,-6.136,0.8699,0.9559,,,,,,,,,,,
KLK7,kallikrein related peptidase 7,5650,19,-0.1543,-3.232,0.8698,0.9559,,,,,,,,,,,
ASB11,ankyrin repeat and SOCS box containing 11,140456,X,-0.03741,-5.43,0.8698,0.9559,,,,,,,,,,,
LOC101927822,uncharacterized LOC101927822,101927822,8,-0.07138,-6.266,0.8698,0.9559,,,,,,,,,,,
LY75-CD302,LY75-CD302 readthrough,100526664,2,-0.006947,-3.365,0.8696,0.9558,,,,,,,,,,,
NA,NA,NA,NA,-0.03188,-5.683,0.8696,0.9558,,,,,,,,,,,
REM2,RAS (RAD and GEM)-like GTP binding 2,161253,14,-0.04753,-2.624,0.8695,0.9557,,,,,,,,,,,
EDAR,ectodysplasin A receptor,10913,2,-0.04804,-0.6406,0.8694,0.9556,,,,,,,,,,,
NA,NA,NA,NA,-0.07119,-6.232,0.8692,0.9556,,,,,,,,,,,
FGF3,fibroblast growth factor 3,2248,11,-0.09971,-6.016,0.8692,0.9556,,,,,,,,,,,
NA,NA,NA,NA,-0.09923,-6.09,0.8691,0.9556,,,,,,,,,,,
NA,NA,NA,NA,-0.08538,-6.171,0.8691,0.9556,,,,,,,,,,,
PLA2G4D,phospholipase A2 group IVD,283748,15,-0.1341,-2.181,0.869,0.9556,,,,,,,,,,,
TPH1,tryptophan hydroxylase 1,7166,11,-0.01683,0.3713,0.869,0.9556,,,,,,,,,,,
SLC9A4,solute carrier family 9 member A4,389015,2,-0.01537,2.145,0.869,0.9556,,,,,,,,,,,
NA,NA,NA,NA,-0.08963,-5.66,0.8689,0.9556,,,,,,,,,,,
LKAAEAR1,LKAAEAR motif containing 1,198437,20,-0.0471,-6.069,0.8688,0.9556,,,,,,,,,,,
TMEM247,transmembrane protein 247,388946,2,-0.09954,-5.925,0.8687,0.9556,,,,,,,,,,,
RIMBP3C,RIMS binding protein 3C,150221,22,-0.1085,-6.156,0.8686,0.9555,,,,,,,,,,,
ASMTL-AS1,ASMTL antisense RNA 1,80161,X; Y,-0.1,-1.144,0.8686,0.9555,,,,,,,,,,,
NA,NA,NA,NA,-0.04912,-6,0.8686,0.9555,,,,,,,,,,,
CCNY,cyclin Y,219771,10,-0.01779,5.618,0.8685,0.9555,,,,,,,,,,,
ADORA2A-AS1,ADORA2A antisense RNA 1,646023,22,-0.06956,-5.834,0.8685,0.9555,,,,,,,,,,,
NA,NA,NA,NA,-0.09021,-6.245,0.8685,0.9555,,,,,,,,,,,
PCBP1-AS1,PCBP1 antisense RNA 1,400960,2,-0.07633,-1.346,0.8684,0.9555,,,,,,,,,,,
NA,NA,NA,NA,-0.06912,-5.968,0.8684,0.9555,,,,,,,,,,,
HNRNPCL1,heterogeneous nuclear ribonucleoprotein C-like 1,343069,1,-0.02192,-4.154,0.8684,0.9555,,,,,,,,,,,
OR4D10,olfactory receptor family 4 subfamily D member 10,390197,11,-0.08556,-6.073,0.8684,0.9555,,,,,,,,,,,
BRDTP1,bromodomain testis associated pseudogene 1,643486,X,-0.09029,-6.127,0.8683,0.9555,,,,,,,,,,,
ACTR8,ARP8 actin-related protein 8 homolog (yeast),93973,3,-0.007538,4.493,0.8683,0.9555,,,,,,,,,,,
CACNG6,calcium voltage-gated channel auxiliary subunit gamma 6,59285,19,-0.09624,-5.999,0.8681,0.9555,,,,,,,,,,,
GSTA5,glutathione S-transferase alpha 5,221357,6,-0.0604,-6.006,0.8681,0.9555,,,,,,,,,,,
NA,NA,NA,NA,-0.07744,-6.255,0.868,0.9555,,,,,,,,,,,
NA,NA,NA,NA,-0.09691,-6.235,0.868,0.9555,,,,,,,,,,,
LINC01011,long intergenic non-protein coding RNA 1011,401232,6,-0.05375,-5.675,0.8677,0.9553,,,,,,,,,,,
ENC1,ectodermal-neural cortex 1,8507,5,-0.08371,5.572,0.8675,0.9552,,,,,,,,,,,
CA7,carbonic anhydrase VII,766,16,-0.1135,-5.591,0.8675,0.9552,,,,,,,,,,,
MED6,mediator complex subunit 6,10001,14,-0.01875,4.07,0.8674,0.9552,,,,,,,,,,,
SUN5,Sad1 and UNC84 domain containing 5,140732,20,-0.09199,-6.233,0.8674,0.9551,,,,,,,,,,,
LINC00900,long intergenic non-protein coding RNA 900,283143,11,-0.08219,-6,0.8673,0.9551,,,,,,,,,,,
FAM182B,family with sequence similarity 182 member B,728882,20,-0.001384,-4.682,0.8673,0.9551,,,,,,,,,,,
ZNF335,zinc finger protein 335,63925,20,-0.01468,4.771,0.8673,0.9551,,,,,,,,,,,
C14orf177,chromosome 14 open reading frame 177,283598,14,-0.08915,-6.236,0.867,0.955,,,,,,,,,,,
NA,NA,NA,NA,-0.02037,-3.947,0.8669,0.955,,,,,,,,,,,
NA,NA,NA,NA,-0.09194,-6.145,0.8668,0.9549,,,,,,,,,,,
CXorf56,chromosome X open reading frame 56,63932,X,-0.003409,4.471,0.8668,0.9549,,,,,,,,,,,
CORIN,"corin, serine peptidase",10699,4,-0.04646,2.075,0.8667,0.9549,,,,,,,,,,,
CNTF,ciliary neurotrophic factor,1270,11,-0.01742,-0.8209,0.8666,0.9548,,,,,,,,,,,
NA,NA,NA,NA,-0.06664,-6.118,0.8665,0.9548,,,,,,,,,,,
NA,NA,NA,NA,-0.06781,-6.242,0.8665,0.9548,,,,,,,,,,,
TRIML2,tripartite motif family like 2,205860,4,-0.01341,-4.698,0.8665,0.9548,,,,,,,,,,,
S100A10,S100 calcium binding protein A10,6281,1,-0.002603,4.868,0.8664,0.9548,,,,,,,,,,,
HIST1H1D,"histone cluster 1, H1d",3007,6,-0.07819,5.336,0.8663,0.9548,,,,,,,,,,,
NA,NA,NA,NA,-0.0769,-5.877,0.8663,0.9548,,,,,,,,,,,
LIMS3,LIM zinc finger domain containing 3,96626,2,-0.07361,-6.271,0.8663,0.9548,,,,,,,,,,,
TBC1D3P5,TBC1 domain family member 3 pseudogene 5,440419,17,-0.09295,-6.244,0.8662,0.9548,,,,,,,,,,,
NA,NA,NA,NA,-0.08867,-6.231,0.8662,0.9548,,,,,,,,,,,
ZFAT-AS1,ZFAT antisense RNA 1,594840,8,-0.09104,-6.192,0.8661,0.9548,,,,,,,,,,,
PMP2,peripheral myelin protein 2,5375,8,-0.01466,-4.644,0.866,0.9548,,,,,,,,,,,
LOC101928143,uncharacterized LOC101928143,101928143,14,-0.0991,-6.22,0.866,0.9548,,,,,,,,,,,
NA,NA,NA,NA,-0.09099,-6.22,0.8659,0.9548,,,,,,,,,,,
ATP5L2,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit G2",267020,22,-0.006587,-0.288,0.8659,0.9548,,,,,,,,,,,
LOC100996455,uncharacterized LOC100996455,100996455,11,-0.0398,-5.23,0.8659,0.9548,,,,,,,,,,,
NPVF,neuropeptide VF precursor,64111,7,-0.07383,-6.206,0.8659,0.9548,,,,,,,,,,,
C8A,complement component 8 alpha subunit,731,1,-0.1181,-5.197,0.8659,0.9548,,,,,,,,,,,
MGC45922,uncharacterized LOC284365,284365,19,-0.09183,-6.02,0.8657,0.9548,,,,,,,,,,,
SNORD103A,"small nucleolar RNA, C/D box 103A",692234,1,-0.09879,-6.249,0.8657,0.9548,,,,,,,,,,,
KCNQ2,potassium voltage-gated channel subfamily Q member 2,3785,20,-0.03553,-4.797,0.8655,0.9547,,,,,,,,,,,
NA,NA,NA,NA,-0.1554,-3.917,0.8655,0.9547,,,,,,,,,,,
ZNF518B,zinc finger protein 518B,85460,4,-0.07679,5.094,0.8653,0.9546,,,,,,,,,,,
PTP4A1,"protein tyrosine phosphatase type IVA, member 1",7803,6,-0.0122,5.707,0.8653,0.9546,,,,,,,,,,,
NA,NA,NA,NA,-0.07723,-6.275,0.8652,0.9546,,,,,,,,,,,
NA,NA,NA,NA,-0.07206,-6.269,0.8652,0.9546,,,,,,,,,,,
LRRC3-AS1,LRRC3 antisense RNA 1 (head to head),100861510,21,-0.07241,-6.272,0.8651,0.9546,,,,,,,,,,,
CYP2B7P,"cytochrome P450 family 2 subfamily B member 7, pseudogene",1556,19,-0.1264,-1.58,0.8651,0.9546,,,,,,,,,,,
CSAD,cysteine sulfinic acid decarboxylase,51380,12,-0.05199,4.885,0.865,0.9546,,,,,,,,,,,
SCGB1D2,"secretoglobin, family 1D member 2",10647,11,-0.07532,-5.935,0.865,0.9546,,,,,,,,,,,
NA,NA,NA,NA,-0.07241,-6.272,0.865,0.9546,,,,,,,,,,,
TUSC8,tumor suppressor candidate 8 (non-protein coding),400128,13,-0.07543,-6.266,0.8649,0.9546,,,,,,,,,,,
NA,NA,NA,NA,-0.07264,-6.269,0.8649,0.9546,,,,,,,,,,,
SNORA22,"small nucleolar RNA, H/ACA box 22",677807,7,-0.009763,6.407,0.8649,0.9546,,,,,,,,,,,
ATCAY,"ataxia, cerebellar, Cayman type",85300,19,-0.04105,-4.622,0.8648,0.9546,,,,,,,,,,,
CNPY1,canopy FGF signaling regulator 1,285888,7,-0.1131,-6.093,0.8648,0.9546,,,,,,,,,,,
LOC100288798,uncharacterized LOC100288798,100288798,12,-0.0814,-5.842,0.8646,0.9546,,,,,,,,,,,
BTBD7,BTB domain containing 7,55727,14,-0.002153,6.302,0.8646,0.9546,,,,,,,,,,,
CEACAM18,carcinoembryonic antigen related cell adhesion molecule 18,729767,19,-0.08453,-5.949,0.8645,0.9546,,,,,,,,,,,
ZNF132,zinc finger protein 132,7691,19,-3.95E-05,2.28,0.8645,0.9546,,,,,,,,,,,
NA,NA,NA,NA,-0.07344,-6.278,0.8641,0.9544,,,,,,,,,,,
TPRKB,TP53RK binding protein,51002,2,-0.03265,3.056,0.8641,0.9544,,,,,,,,,,,
RPS2P32,ribosomal protein S2 pseudogene 32,256355,7,-0.01495,-2.537,0.8641,0.9544,,,,,,,,,,,
MXD1,MAX dimerization protein 1,4084,2,-0.006124,3.553,0.8639,0.9544,,,,,,,,,,,
ANKLE2,ankyrin repeat and LEM domain containing 2,23141,12,-0.002302,6.227,0.8639,0.9544,,,,,,,,,,,
NA,NA,NA,NA,-0.06933,-6.235,0.8639,0.9544,,,,,,,,,,,
BSN-AS2,BSN antisense RNA 2 (head to head),100132677,3,-0.07494,-6.239,0.8638,0.9544,,,,,,,,,,,
FOXB2,forkhead box B2,442425,9,-0.05198,-6.059,0.8637,0.9544,,,,,,,,,,,
NA,NA,NA,NA,-0.08867,-5.855,0.8635,0.9543,,,,,,,,,,,
ASPHD1,aspartate beta-hydroxylase domain containing 1,253982,16,-0.065,-0.7994,0.8635,0.9543,,,,,,,,,,,
TVP23B,trans-golgi network vesicle protein 23 homolog B (S. cerevisiae),51030,17,-0.03986,3.415,0.8633,0.9541,,,,,,,,,,,
C14orf180,chromosome 14 open reading frame 180,400258,14,-0.07267,-6.042,0.8632,0.9541,,,,,,,,,,,
NA,NA,NA,NA,-0.07319,-6.272,0.8631,0.9541,,,,,,,,,,,
MIR1183,microRNA 1183,100302122,7,-0.06118,-6.142,0.8631,0.9541,,,,,,,,,,,
LINC01516,long intergenic non-protein coding RNA 1516,101929025,10,-0.07647,-6.272,0.863,0.954,,,,,,,,,,,
MIR604,microRNA 604,693189,10,-0.04403,-5.362,0.8629,0.954,,,,,,,,,,,
LOC100128374,uncharacterized LOC100128374,100128374,7,-0.05491,-6.064,0.8628,0.954,,,,,,,,,,,
NA,NA,NA,NA,-0.02327,-2.499,0.8627,0.9539,,,,,,,,,,,
CDAN1,codanin 1,146059,15,-0.01086,4.893,0.8626,0.9539,,,,,,,,,,,
GPR52,G protein-coupled receptor 52,9293,1,-0.0303,3.289,0.8626,0.9539,,,,,,,,,,,
LOC101929475,uncharacterized LOC101929475,101929475,10,-0.07119,-6.268,0.8626,0.9539,,,,,,,,,,,
LOC284577,uncharacterized LOC284577,284577,1,-0.07138,-6.266,0.8624,0.9538,,,,,,,,,,,
LOC101927244,uncharacterized LOC101927244,101927244,1,-0.0724,-6.272,0.8624,0.9538,,,,,,,,,,,
SNX19,sorting nexin 19,399979,11,-0.0002918,5.732,0.8624,0.9538,,,,,,,,,,,
MALL,"mal, T-cell differentiation protein-like",7851,2,-0.1154,2.127,0.8623,0.9538,,,,,,,,,,,
LINC01149,long intergenic non-protein coding RNA 1149,101929111,6,-0.07308,-6.275,0.8623,0.9538,,,,,,,,,,,
KRTAP10-9,keratin associated protein 10-9,386676,21,-0.1043,-6.198,0.8622,0.9538,,,,,,,,,,,
ZNF214,zinc finger protein 214,7761,11,-0.07141,1.311,0.8622,0.9538,,,,,,,,,,,
NA,NA,NA,NA,-0.07647,-6.272,0.8622,0.9538,,,,,,,,,,,
RNASET2,ribonuclease T2,8635,6,-0.03225,6.368,0.8622,0.9538,,,,,,,,,,,
NA,NA,NA,NA,-0.07344,-6.278,0.8621,0.9538,,,,,,,,,,,
NA,NA,NA,NA,-0.08219,-5.988,0.862,0.9538,,,,,,,,,,,
NME4,NME/NM23 nucleoside diphosphate kinase 4,4833,16,-0.02126,2.688,0.8619,0.9538,,,,,,,,,,,
OR5M3,olfactory receptor family 5 subfamily M member 3,219482,11,-0.07544,-6.266,0.8619,0.9538,,,,,,,,,,,
KRTAP9-3,keratin associated protein 9-3,83900,17,-0.09051,-6.24,0.8619,0.9538,,,,,,,,,,,
FAM188B,family with sequence similarity 188 member B,84182,7,-0.01352,0.9135,0.8618,0.9538,,,,,,,,,,,
LAMTOR5-AS1,LAMTOR5 antisense RNA 1,101410535,1,-0.07241,-6.272,0.8616,0.9538,,,,,,,,,,,
NA,NA,NA,NA,-0.07404,-6.262,0.8615,0.9538,,,,,,,,,,,
LINC00551,long intergenic non-protein coding RNA 551,283483,13,-0.07544,-6.266,0.8614,0.9538,,,,,,,,,,,
CFAP65,cilia and flagella associated protein 65,255101,2,-0.08985,-4.349,0.8613,0.9538,,,,,,,,,,,
NA,NA,NA,NA,-0.07241,-6.272,0.8612,0.9537,,,,,,,,,,,
NA,NA,NA,NA,-0.0493,-5.971,0.8612,0.9537,,,,,,,,,,,
OIT3,oncoprotein induced transcript 3,170392,10,-0.1109,-3.586,0.8611,0.9537,,,,,,,,,,,
FRS3,fibroblast growth factor receptor substrate 3,10817,6,-0.02677,0.6852,0.8609,0.9536,,,,,,,,,,,
MIR637,microRNA 637,693222,19,-0.06073,-5.974,0.8608,0.9536,,,,,,,,,,,
NA,NA,NA,NA,-0.07329,-6.215,0.8608,0.9536,,,,,,,,,,,
HAVCR1P1,hepatitis A virus cellular receptor 1 pseudogene 1,100101266,19,-0.008846,-5.461,0.8608,0.9536,,,,,,,,,,,
LOC646652,integral membrane glycoprotein-like,646652,5,-0.08525,-3.393,0.8608,0.9536,,,,,,,,,,,
NA,NA,NA,NA,-0.08632,-5.96,0.8607,0.9536,,,,,,,,,,,
LOC101060091,uncharacterized LOC101060091,101060091,2,-0.07646,-6.272,0.8607,0.9536,,,,,,,,,,,
NA,NA,NA,NA,-0.07234,-6.245,0.8607,0.9536,,,,,,,,,,,
LOC645553,uncharacterized LOC645553,645553,19,-0.1038,-5.344,0.8606,0.9536,,,,,,,,,,,
NA,NA,NA,NA,-0.03482,-3.257,0.8606,0.9536,,,,,,,,,,,
NA,NA,NA,NA,-0.0731,-6.279,0.8604,0.9536,,,,,,,,,,,
NA,NA,NA,NA,-0.07182,-6.246,0.8603,0.9535,,,,,,,,,,,
FLJ40288,uncharacterized FLJ40288,286023,7,-0.09008,-6.242,0.8603,0.9535,,,,,,,,,,,
ABHD4,abhydrolase domain containing 4,63874,14,-0.004679,3.624,0.8602,0.9535,,,,,,,,,,,
TOMM7,translocase of outer mitochondrial membrane 7,54543,7,-0.02056,6.012,0.8602,0.9535,,,,,,,,,,,
ARHGEF1,Rho guanine nucleotide exchange factor 1,9138,19,-0.04,5.796,0.8602,0.9535,,,,,,,,,,,
CASKIN2,CASK interacting protein 2,57513,17,-0.02804,3.056,0.8601,0.9535,,,,,,,,,,,
LGALS9C,"lectin, galactoside-binding, soluble, 9C",654346,17,-0.07508,-5.168,0.8601,0.9535,,,,,,,,,,,
OR10A6,olfactory receptor family 10 subfamily A member 6 (gene/pseudogene),390093,11,-0.04171,-5.849,0.8601,0.9535,,,,,,,,,,,
NA,NA,NA,NA,-0.07543,-6.266,0.8601,0.9535,,,,,,,,,,,
SYT7,synaptotagmin 7,9066,11,-0.01055,3.334,0.8601,0.9535,,,,,,,,,,,
AMBN,ameloblastin,258,4,-0.05823,-5.946,0.8599,0.9535,,,,,,,,,,,
NA,NA,NA,NA,-0.06321,-6.199,0.8597,0.9535,,,,,,,,,,,
KRT82,keratin 82,3888,12,-0.0762,-5.935,0.8597,0.9535,,,,,,,,,,,
GPR139,G protein-coupled receptor 139,124274,16,-0.07867,-6.232,0.8595,0.9533,,,,,,,,,,,
LOC653786,otoancorin pseudogene,653786,16,-0.0604,-5.615,0.8594,0.9533,,,,,,,,,,,
SAMHD1,SAM domain and HD domain 1,25939,20,-0.02648,8.082,0.8593,0.9533,,,,,,,,,,,
RAB6A,"RAB6A, member RAS oncogene family",5870,11,-0.01496,6.823,0.8592,0.9533,,,,,,,,,,,
RFPL3,ret finger protein like 3,10738,22,-0.08794,-6.186,0.8591,0.9532,,,,,,,,,,,
NA,NA,NA,NA,-0.07137,-6.274,0.859,0.9532,,,,,,,,,,,
NA,NA,NA,NA,-0.07241,-6.272,0.8589,0.9531,,,,,,,,,,,
CORO7,coronin 7,79585,16,-0.07466,-1.659,0.8589,0.9531,,,,,,,,,,,
ADGRB3,adhesion G protein-coupled receptor B3,577,6,-0.05417,1.345,0.8587,0.9529,,,,,,,,,,,
LL0XNC01-116E7.2,uncharacterized LOC100128594,100128594,X,-0.06828,-6.203,0.8586,0.9529,,,,,,,,,,,
OXT,oxytocin/neurophysin I prepropeptide,5020,20,-0.05172,-5.808,0.8585,0.9528,,,,,,,,,,,
PLEK2,pleckstrin 2,26499,14,-0.03576,2.753,0.8585,0.9528,,,,,,,,,,,
ACTR3BP5,ACTR3B pseudogene 5,399746,10,-0.08993,-6.233,0.8583,0.9527,,,,,,,,,,,
SNORD45A,"small nucleolar RNA, C/D box 45A",26805,1,-0.1943,0.2313,0.8581,0.9526,,,,,,,,,,,
ZNF271P,"zinc finger protein 271, pseudogene",10778,18,-0.03423,2.685,0.858,0.9525,,,,,,,,,,,
USP17L1,ubiquitin specific peptidase 17-like family member 1,401447,8,-0.1182,-5.852,0.858,0.9525,,,,,,,,,,,
NA,NA,NA,NA,-0.05603,-5.454,0.858,0.9525,,,,,,,,,,,
OR4K1,olfactory receptor family 4 subfamily K member 1,79544,14,-0.08914,-6.069,0.858,0.9525,,,,,,,,,,,
